state_county_name,precipitation_in,rain_days,usgs_runoff_in
Illinois-Greene,35.01,97.8,9
Illinois-Grundy,35.01,99,11
Illinois-Hamilton,45,97.9,12
Illinois-Hancock,35.01,96.3,9
Illinois-Hardin,45,97.8,15.5
Illinois-Henderson,35.01,97.8,9
Illinois-Henry,35.01,97.8,9
Illinois-Iroquois,35.01,101.3,10
Illinois-Jackson,45,96.5,13
Illinois-Jasper,44.56,97.8,10
Illinois-Jefferson,45,97.8,10
Illinois-Jersey,35.01,97.8,9
Illinois-Jo Daviess,35.01,97.8,9
Illinois-Johnson,45,97.8,15.5
Illinois-Kane,35.01,99.2,10
Illinois-Kankakee,35.01,101.7,11.333
Illinois-Kendall,35.01,100.1,10
Illinois-Knox,35.01,96.6,9
Illinois-La Salle,35.01,97.9,9
Illinois-Lake,35.01,99.4,9.5
Illinois-Lawrence,45,106.3,12
Illinois-Lee,35.01,97.3,9
Illinois-Livingston,35.01,97.9,11
Illinois-Logan,35.01,97.1,9
Illinois-Macon,35.01,97,9
Illinois-Macoupin,35.01,96.3,9
Illinois-Madison,35.01,96.2,9
Illinois-Marion,44.99,97.8,10
Illinois-Marshall,35.01,97.8,9
Illinois-Mason,35.01,97.7,9
Illinois-Massac,45,100.7,16
Illinois-McDonough,35.01,91.9,9
Illinois-McHenry,35.01,100.6,9
Illinois-McLean,35.01,97.6,11
Illinois-Menard,35.01,97.8,9
Illinois-Mercer,35.01,97.8,9
Illinois-Monroe,41.04,92.1,9
Illinois-Montgomery,36.17,95.5,9
Illinois-Morgan,35.01,97.5,9
Illinois-Moultrie,35.01,97.8,9.5
Illinois-Ogle,35.01,98,9
Illinois-Peoria,35.01,97.8,9
Illinois-Perry,45,97.8,10
Illinois-Piatt,35.01,97.6,9
Illinois-Pike,35.01,97.7,9
Illinois-Pope,45,97.8,15.667
Illinois-Pulaski,45,97.8,16
Illinois-Putnam,35.01,95,9
Illinois-Randolph,45,92.7,10
Illinois-Richland,45,97.8,12
Illinois-Rock Island,35.01,97.8,9
Illinois-Saline,45,97.8,14
Illinois-Sangamon,35.01,97.8,9
Illinois-Schuyler,35.01,83.3,9
Illinois-Scott,35.01,97.8,9
Illinois-Shelby,35.1,97.4,9.5
Illinois-St. Clair,36.37,88.8,9
Illinois-Stark,35.01,97.8,9
Illinois-Stephenson,35.01,97.8,9
Illinois-Tazewell,35.01,97.9,9
Illinois-Union,45,97.8,14.5
Illinois-Vermilion,35.03,101.6,10
Illinois-Wabash,45,97.8,14
Illinois-Warren,35.01,97.2,9
Illinois-Washington,40.61,97.8,10
Illinois-Wayne,45,97.6,11
Illinois-White,45,97.8,13.333
Illinois-Whiteside,35.01,97.9,9
Illinois-Will,35.01,103.5,11
Illinois-Williamson,45,97.8,13
Illinois-Winnebago,35.01,99.2,9
Illinois-Woodford,35.01,97.8,9
Indiana-Adams,35.01,111.9,10
Indiana-Allen,35.01,110.2,10
Indiana-Bartholomew,45,112.5,14.5
Indiana-Benton,35.01,112.5,11
Indiana-Blackford,35.01,112.5,12
Indiana-Boone,39.76,112.5,12
Indiana-Brown,45,112.2,14.5
Indiana-Carroll,35.01,112.5,12
Indiana-Cass,35.01,112.5,12
Indiana-Clark,45,108.1,18
